fine_amount,penalty_amount,interest_amount,payment_amount,amount_due,total_charges,net_paid,unpaid_balance_ratio,issue_year,issue_month,issue_day,issue_dayofweek,issue_quarter,is_weekend,county_encoded,issuing_agency_encoded,violation_status_encoded,license_type_encoded,cluster
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,9,24,2,3,0,0,1,6,8,2
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,9,19,4,3,0,2,1,6,8,2
35.0,0.0,0.0,35.0,0.0,35.0,35.0,0.0,2025,5,1,3,2,0,2,6,6,8,0
35.0,0.0,0.0,35.0,0.0,35.0,35.0,0.0,2025,5,1,3,2,0,2,6,6,8,0
65.0,30.0,0.0,95.0,0.0,95.0,95.0,0.0,2023,4,25,1,2,0,1,6,3,11,1
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,1,16,3,1,0,1,7,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,11,1,1,0,1,1,6,8,0
50.0,25.0,4.13,79.06,0.0,79.13,78.99000000000001,0.0,2024,4,18,3,2,0,1,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,4,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,11,1,1,0,1,1,6,8,0
50.0,25.0,2.44,77.44,0.0,77.44,77.44,0.0,2024,12,6,4,4,0,4,1,6,8,2
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2024,11,12,1,4,0,5,7,6,6,2
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2024,11,13,2,4,0,5,7,6,6,2
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,9,24,2,3,0,0,1,6,8,2
50.0,25.0,2.52,77.39,0.0,77.52,77.26,0.0,2024,12,6,4,4,0,0,1,6,8,2
50.0,25.0,2.51,77.38,0.0,77.51,77.25,0.0,2024,11,17,6,4,1,3,1,6,8,2
35.0,0.0,0.0,35.0,0.0,35.0,35.0,0.0,2025,5,1,3,2,0,2,6,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,3,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,11,1,1,0,3,1,2,1,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,11,1,1,0,3,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,11,1,1,0,3,1,6,8,0
65.0,0.0,0.0,65.0,0.0,65.0,65.0,0.0,2025,4,10,3,2,0,1,0,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,1,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,3,1,6,8,0
65.0,0.0,0.0,65.0,0.0,65.0,65.0,0.0,2025,4,15,1,2,0,2,0,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2024,11,13,2,4,0,4,7,6,8,2
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2024,11,13,2,4,0,5,7,6,6,2
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2024,11,13,2,4,0,3,7,6,8,2
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2024,11,13,2,4,0,5,7,6,8,2
150.0,0.0,0.0,150.0,0.0,150.0,150.0,0.0,2024,11,13,2,4,0,5,7,3,8,1
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2024,11,13,2,4,0,2,7,6,8,2
50.0,25.0,2.19,77.12,0.0,77.19,77.05000000000001,0.0,2025,1,8,2,1,0,1,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,9,19,4,3,0,3,1,6,8,2
115.0,0.0,0.0,115.0,0.0,115.0,115.0,0.0,2025,4,9,2,2,0,2,6,6,1,1
50.0,25.0,1.86,76.73,0.0,76.86,76.60000000000001,0.0,2025,2,20,3,1,0,3,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,0,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,11,1,1,0,0,1,6,6,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,1,1,6,8,0
115.0,0.0,0.0,115.0,0.0,115.0,115.0,0.0,2025,4,14,0,2,0,3,0,6,8,1
65.0,0.0,0.0,65.0,0.0,65.0,65.0,0.0,2025,4,11,4,2,0,1,0,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,9,24,2,3,0,3,1,6,1,2
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,3,1,6,8,0
35.0,0.0,0.0,35.0,0.0,35.0,35.0,0.0,2025,5,1,3,2,0,2,6,6,8,0
65.0,0.0,0.0,40.0,0.0,65.0,15.0,0.0,2025,5,2,4,2,0,2,6,4,1,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,22,5,1,1,0,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,3,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,11,1,1,0,0,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,11,1,1,0,1,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,1,15,2,1,0,1,7,3,6,0
65.0,0.0,0.0,65.0,0.0,65.0,65.0,0.0,2025,4,15,1,2,0,1,0,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,1,1,6,6,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,0,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,1,1,6,8,0
65.0,0.0,0.0,65.0,0.0,65.0,65.0,0.0,2025,4,10,3,2,0,0,0,6,8,0
65.0,0.0,0.0,65.0,0.0,65.0,65.0,0.0,2025,4,11,4,2,0,1,0,6,8,0
65.0,0.0,0.0,65.0,0.0,65.0,65.0,0.0,2025,2,27,3,1,0,2,6,3,1,0
115.0,0.0,0.0,115.0,0.0,115.0,115.0,0.0,2025,4,3,3,2,0,1,5,6,8,1
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2024,11,13,2,4,0,4,7,6,8,2
50.0,25.0,0.0,50.0,0.0,75.0,25.0,0.0,2025,3,22,5,1,1,3,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,9,19,4,3,0,3,1,6,8,2
